,Tweets
750,"“However, with the exit of Ulster Bank and now KBC, it appears that it is open season on the struggling Irish mortgage holder, farmer and small businesses.”
https://t.co/a8Itzr9rSz"
751,"💡@DefraGovUK wants farming to be about ‘bright young new talent’

Is this you?

If yes, come along to Defra event with @JohnMcCallister talking about Northern Ireland’s Land Mobility Scheme

📆Wed 21 Apr 12:30pm
👉https://t.co/GSTJYpQgEQ

@CSANetwork @LandworkersUK #AccessToLand"
752,https://t.co/CFghBbX4eC
753,"#Ireland should not be exporting any live cattle to Turkey, or any other non-EU country, for slaughter. Trade in live animals must be replaced by carcasses - Analysis: Why the 100,000-head Turkish contract is out of the reach of Irish exporters https://t.co/BXWGMPFmg5 #agriland"
754,"CX80 multi-purpose spray will keep your machinery running smoothly! Ask your local dealer about the CX80 range today🚜

🌐See https://t.co/sexafm8XCu for the full CX80 range.

#lawnmower #spring #repairs #Ireland #mchc #agricultural #farming #construction #agriculture #rural https://t.co/Io9GX3Va5b"
755,"In ireland, starting in west cork, the government guarantees the right to food, family farming is back with a high tech twist, democratic decisions about the food system are made in local &amp; decentralized ways. I☘👩‍🌾"
756,"With over 130 years of experience in the farming sector, you can rest assured that our products are top quality and built for your needs, check out our website today or call us on 029 60019 #Allenweld #cork #ireland #equine #agriculture #agricultural #fabrication #farming https://t.co/7eXNYPKxzN"
757,Queen’s cows arrive in Ireland in a rare sale of Balmoral livestock https://t.co/lEeVnm12Dz
758,"@BorisJohnson Brexit: fishing, farming, manufacturing, finance sector, Galileo, intelligence-sharing, Erasmus, those hidden non-tariff barriers killing exports... and Northern Ireland. 
Your Brexit struck at the heart of the UK but you don’t seem remotely bothered about that. https://t.co/Ft6bNTtN1v"
759,@dan_pathfinder @whale_nerd HNV farming is not the pinnacle of nature in Ireland!
760,"Nature in Ireland does not culminate in farming, we need wild too"
761,Over the past 70 years grassland research has contributed significantly to increasing animal production from grassland. The continued development of grazing technologies will be critical in increasing the future sustainability of grassland farming. More at https://t.co/92WQ2o4MJw https://t.co/MTjOuvJWWz
762,"Farming in a UNESCO designated area takes a lot of work but where else would you get views like this. The Burren Co Clare Ireland. Seems fitting to mention on #worldheritageday2021 
#burren #biodiversity #sustainablebeauty #environmentalsustainability #conservation https://t.co/lazeONLDiO"
763,Such a great look into dairy farming in Ireland and Maeve is amazing! 👍 https://t.co/8bCAfHTM7q
764,"They are the first Balmoral heifers to come into Ireland
#Farming #IeBusiness https://t.co/AHe2venPd2"
765,Queen’s cows arrive in Ireland in a rare sale of Balmoral livestock https://t.co/asWzFUE2v2
766,Farming group says Ireland needs banking competition https://t.co/e9aGgvZFGb
767,"New sexed semen lab to open in Ireland 

https://t.co/364qWkx8AO"
768,Queen’s cows arrive in Ireland in a rare sale of Balmoral livestock https://t.co/pxDLK6n520
769,"Irish data shows that the heaviest drinkers buy the cheapest alcohol. More than half of Irish drinkers are classified as hazardous drinkers
https://t.co/qDJTM4Ekev"
770,The crex of Crex Crex-the Corncrake. Well done Andy. Imagine... these birds were found all over Ireland once including in and around Dublin. They lived in harmony with very low-intensity mixed farming. https://t.co/Lmnc6y9s1H
771,@UFUHQ Climate change is an opportunity for Northern Ireland farmers move to regenerative farming practice and localised food supply at higher prices. Farmers must stop being slaves to global food prices.
772,Very important that farming in Northern Ireland changes and stops being controlled by the global agrifood market https://t.co/d2okPvqjS8
773,"Ifac’s Irish Farm Report 2021 revealed this week that only 71% of farmers have a successor in place @ifac_ireland #Sponsored
https://t.co/e78MEGeCqR"
774,"@Orgelword @sarmcdonnell @wrathofgodbot @SamuelMarcLowe It's not that difficult a circle for the US to square - just don't do a trade deal with the UK. Then the farming lobby and the Irish-American one never come into conflict. But if they do try it, the farmers would be likely to win out. And then Ireland would have a problem."
775,"@PeterAdamSmith @wa21570398 @NicolaSturgeon U a reporter or a 🤡commentator? End comment screams bias.
Yes Ireland uses euro, has central bank, &amp; doesn’t have NHS. However, 🏴󠁧󠁢󠁳󠁣󠁴󠁿 has natural resources &amp; can hold its own against Ireland in almost any field u wish to compare
Fishing,tourism,farming,education,social stability."
776,"@paddycosgrave ☝️Google's wages must be €30million a month? 💸 flowing into the country.
Ireland has lots of wealth as seen in our nice imported products, such as Cars, for example. The money to pay for these imports originally comes from #multinationals &amp; #farming mostly."
777,"Check this out on Agriland - Ciaran Fitzgerald: Will science drive Ireland’s climate action legislation?
 https://t.co/FzmGwafZVG"
778,@whittledaway @rtenews Intensive farming and regulations are more immediate concern than climate. Farmer was cutting hedges and trees btw our properties when I complained he said he was forced to do so by the #EU to qualify for grants. No place is left for Ireland’s native birds.
779,"Author writes hatchet job that:

A. Places GB nationalists desires ahead of NI unionists needs; her desires will sink farming livelihoods in UK’s poorest region (most farmers vote DUP),
B. Misrepresents the #GFA,
C. Leads with an Ireland flag, when the article isnt about Ireland. https://t.co/HsXnKiXh7R"
780,"RTE: "" Draft agri strategy non-committal on livestock numbers. The Government's draft Agri-Food Strategy for 2030 is proposing a 10% cut in biogenic methane emissions from farming but does not say whether livestock numbers should rise, fall or stay... ""⬇️ https://t.co/oOK7Hw0hTZ https://t.co/Q5gI8v26Ci"
781,"The Government's draft Agri-Food Strategy for 2030 is proposing a 10% cut in biogenic methane emissions from farming but does not say whether livestock numbers should rise, fall or stay at current levels

https://t.co/KkLjIG8VyD"
782,"Have a enjoyable and relaxed weekend everyone....
#kidgoat #farming #ireland https://t.co/xmnfjzo9gA"
783,"@nicolehayesTEH @GHGGuru Hey @IFAmedia @AgrilandIreland, we need billboards like this in Ireland...can also add to these by showing the intrinsic benefits of livestock farming that contribute to health, environment and employment."
784,Ireland needs a next generation of farmers to be innovators for rapid environmental progress and an approach to farming that does this and secures good incomes into the future. Hope John is more collaborative and engaging with environmentalists than his predecessor... https://t.co/2eTrIACq68
785,@Jojanneke It’s good to see interest from Netherlands in Irish farming. We have many clients in Netherlands since 25 years and much learning is also very much coming from the Netherlands to Ireland for which we are very grateful!
786,New sexed semen lab to open in Ireland https://t.co/ltKpuvLMgD
787,'Ireland produces 6% of EU beef and dairy products and only 4% of EU agricultural emissions' https://t.co/YLNuZ2PmLh
788,"Agri-Food Strategy: Ireland to follow Kiwi lead with 10pc drop in methane by 2030 
... 'In conjunction with measures to reduce emissions from the national herd, technology will play a key role in underpinning this ambition.'
https://t.co/PtS4J8g0Dp"
789,Agri-Food Strategy: Ireland to follow Kiwi lead with 10pc drop in methane by 2030  https://t.co/6nM2F9WcgY https://t.co/HZDmWQzzMT
790,"Let's hope Science drives Ireland's climate action legistion! 🤞 @ClimateIreland 
Rather than vegan extremist &amp; green misinformed and misguided junkscience masquerading as fact!
#plantbased #malnutrition  @AgrilandIreland
https://t.co/ADdTeOJ0Fy"
791,"@Admira_lanal @marieloua @LeaveEUOfficial Trade is down 20%. Riots in Northern Ireland. Prices of everything are skyrocketing... Wood. Petrol. Food. Largest recession in the G7. Farming and fishing decimated. 

The pound is only “up” relative to its all time low as at least we have some trade..."
792,A similar warning was issued for the Republic of Ireland earlier this month https://t.co/exXW31H7Ih
793,"The Northern Ireland farming industry saw profits jump by 26% in real terms in 2020, increasing from £342m to £456m, new figures show

https://t.co/BnJOueYQqY"
794,A similar warning was issued for the Republic of Ireland earlier this month https://t.co/vSAIWcbnzv
795,New sexed semen lab to open in Ireland https://t.co/WzLXx1CUrY
796,That time of the year again....out you go boys!! #AtGrass #Farming #Agriculture #Ireland #oasis #whatever @farmersjournal @agriculture_ie @AgrilandIreland @oasis 🐮🐂 https://t.co/sPR99a2eXY
797,"@bbcquestiontime Its not the EU it's our own Government 

A) Not listening to anyone when they said Ireland would be a problem 
B) changing food and farming standards 
C) Taking the UK out of the single market 
D) sending people to drink coffee rather than to negotiate until it was to late"
798,'Much of Ireland’s grassland area is agronomically and economically unsuited to crop production' https://t.co/YLNuZ2PmLh
799,"Scoil Dara in Kilcock was concerned about animal welfare in Ireland, so these teenagers are aiming to raise awareness of puppy farming in Ireland, and to educate people about how they might be unknowingly contributing to the problem. Hear them #SpeakOut https://t.co/zQgO1EvSYc https://t.co/QgkqgaHzfb"
800,"What do I mean by threats to rock art? They have been there for approx. 5000 years, right? So surely they will be fine? Unfortunately this is not the case, as land-clearance to facilitate farming and climate change have resulted in the loss of rock art in Ireland. https://t.co/rH78Ld4ozI"
801,"This year, experts warn larvae are hatching earlier than normal https://t.co/exXW31H7Ih"
802,"Lots of great info in here.
We do sometimes wonder what regenerative ag folks think of the soil building timeframe though...
@soil4climate @regeneration_in @ireland_farming @RegenAGuk https://t.co/gkmAAeoLWP"
803,"Love seeing our lights fitted on machines as we look through our channels 😀 Our UTV320 plug &amp; play 60w worklights fitted to this #Fendt, IN STOCK ready to ship to your door in the UK and Ireland! No import duties to pay either 💪🏻

https://t.co/y9pVmd721d

@The_Grassmen #farming https://t.co/LkXZNeBmTF"
804,An update on farming performance indicators in Northern Ireland: https://t.co/S1l1p100OK
805,'This lab represents a turning point for Ireland’s dairy and beef industries' https://t.co/eq4m5nWXW8
806,"@NatureNymph @codohertynews @BirdWatchIE @WindEnergyIRL Absolutely, different priorities are sorely needed. Habitat restoration has to come above all in my personal opinion. You can't sustain and increase populations without it. 
Above all, farming has to be radically altered in Ireland towards this end."
807,"New Stormont figures show that total income from farming in Northern Ireland soared by more than a third last year

https://t.co/fhKXc7mM1m"
808,"@OilOracle @Fewsts @AyseeTwelve @shrinepod I think it's a culchie phrase to do with tractors?!?

(Culchie = rural farming Ireland)"
809,New sexed semen lab to open in Ireland  https://t.co/QWWtHSkM8P
810,"This year, experts warn larvae are hatching earlier than normal https://t.co/vSAIWcbnzv"
811,"Life Beyond, a bereavement service for the Northern Ireland Farming Community was presented by Veronica Morris and Norma Rohan @EmbraceFARM as the @UFUHQ Charity of the Year at Women in Agriculture 2021 on Wed. To support please visit: https://t.co/aQvd7rAo1g"
812,"Profit Increase in Northern Ireland Farming.

#agreculture #farming #profitability #northernireland #recruitment 

https://t.co/GdnCYFnUVV"
813,"Hey @PETAUK you should link in with @SocDems in Ireland. A match made in heaven to ban horse racing, ban pigeon racing &amp; farming as I suggested on @TodaywithClaire #TodayCB

@GreyhoundsOf @greyhoundcommun look at #GrandNationalDisgrace coming here soon to Dáil Éireann. https://t.co/7ljs6nyd2E"
814,"“They saved my life” - this helimed service can reach any part of Northern Ireland within 25 minutes

#AD @AbpFoods  #helimed #farming #rural #emergency #helicopter #northernireland #NI

https://t.co/VsRZpg6mBI"
815,"Austria, Ireland and... Cows? Check out this report by RTE's Ear to the Ground on the versatile Austrian Fleckvieh breed on an Irish dairy farm.

#advantageaustria #dairy #beef #farming #moo @CelticFleckvieh 

https://t.co/5KDeuDzXVN"
816,Welcome to my new monthly Big Interview in @scottishfarmer this time featuring the 'lady of the mic' Libby Clarke. My interviews will feature 'voices' from the world of farming in Northern Ireland. Libby features in this week's edition! @Lib788Clarke https://t.co/GGaQ2zdiJ0
817,"@r_kuse @norwichruesse @HofstetGP Ob Bayern oder Irland: Höfe werden sterben, wenn GAP-Gelder umverteilt werden für zusätzliche Umweltmaßnahmen, die viele (gerade kleinere) Höfe kaum erbringen können und/oder die keinen positiven Beitrag zum bisherigen Familieneinkommen leisten :

https://t.co/4vI8xItjXZ"
818,"We don't have to. They need to work it out for themselves. Brexit is a disaster  for British business, farming and Northern Ireland,  and our reputation. It's nothing to be proud of. It's not patriotic, but bullshit. But they have to reconcile this. https://t.co/dSKLyylDVt"
819,"@JibbaJabb This idiot has no idea 

He just said there are 5x more checks on goods going between the UK and Ireland than there is between EU countries

Of course there is the EU single Market sorts that out and the UK changed our food and farming standards so what did he expect would happen"
820,The tension between me moving to a rural farming village in Ireland &amp; living out the rest of my days https://t.co/EhgCLjG3GP
821,"Global Perspectives: 5 International #Farmers Discuss The Future: https://t.co/OYT57gHJ3R via @AgWebEditor 

#agriculture #farming #brazil #ireland #Netherlands #Zimbabwe #Australia https://t.co/tbaZvIyJTg"
822,"#Ireland accounts for 12% of overall EU waters; yet the #fish catch is 4% — one-third in proportionate terms.

Minister says we're lucky for what we get, you don't have to fish to feed your family my boy!
#irish #fishing #fisheries #fishermen #trawler
 https://t.co/UwwNU3cAGa"
823,"@m_oconne11 @AmandaS90094997 @Femi_Sorry So you knew leaving would damage UK fishing, farming and manufacturing, and that it would cause issues in NI, yet you don’t think you should apologise for causing all those issues?
Ireland isn’t leaving pal. EU support is well above 80% over there."
824,"⚠️ Kestrel in decline in Ireland due to changes in land use and farming practices. Illegal shooting and poisoning, as well as secondary poisoning, have also caused the kestrel population to decline https://t.co/5Fu9fe4OqT"
825,"@IreneTheochari @SarahJa28484793 @FrasierHarry Not in England it isn’t, we have half the farms of 1973, most of U.K. meat comes from Ireland. I don’t see the west as the problem in farming. Our indigenous populations are in decline only migration to our countries puts up demand"
826,"Ireland just worked out that they need to make massive cuts to farming to meet their green targets

I guess it's back to unemployment, indentured servitude and potato famine, then. Only this time they get to blame the elites they elected, not the ones in London from centuries ago"
827,"@ColmBurkeTD Colm, why is FG letting the small Green tail wag tge big FG dog?
The Greens will destroy rural Ireland and farming with their carbon and climate plans."
828,A really important webinar here for farmers on the occupational risks of skin cancer. Wed 21st April from 11:30am to 1:00pm. Check out the details below. @IrishCancerSoc @HSELive @farmersjournal @IFAmedia @icmsa @ICSAIreland @JoinINHFA @TalamhBeo @ireland_farming https://t.co/ZghPgCVKXg
829,Are @BordBia telling porkies? Ireland has one of the weakest organic sectors in Europe. https://t.co/4r6S4PT4uL
830,"'Ireland needs our service, and this service needs the continuing support of our community fundraisers' https://t.co/11TB76zQvK"
831,"New #puppyfarming law due before Northern Ireland Assembly. 🐶
#LucysLaw has already been enacted in England nd Scotland. It will become law in Wales in October.
Anyone who wants a new puppy or kitten must buy direct from a breeder, or consider adoption.
https://t.co/LMvxXD16sn"
832,I was wondering why organic farming is so small across Ireland. One answer ⬇️ https://t.co/cC5Q7Z9gkg
833,TD: ‘Brexit adds €500 to cost of every truck leaving Ireland’ https://t.co/X5ZxV8gKBf from @AgrilandIreland #Ireland #Brexit #SupplyChain
834,"""The white house on top of the hill""
Please open for full view, it is nice, I promise
#Ireland #Donegal #Hills #irishheritage #scenic #picturesque #farming #IrishScenery #Cows #meadows https://t.co/vkWsHLbmyi"
835,"Arable farming is the only sector in Northern Ireland which is expected to see lower average incomes in 2020/21.
https://t.co/0m0ti8GdJ1"
836,"RSPB: QUARTER OF BIRD SPECIES DEEMED AT RISK IN IRELAND

“Habitat protection, restoration and creation can make huge differences.”

‘The kestrel is also on the list. It is thought changes in farming practice may have affected its habitat and food sources’

https://t.co/x36kBhFCwt"
837,"Arable farming is the only sector in Northern Ireland which is expected to see lower average incomes in 2020/21.
https://t.co/plJiV4Bhfy"
838,"Arable farming is the only sector in Northern Ireland which is expected to see lower average incomes in 2020/21.
https://t.co/7955h4R218"
839,"@WhatNewsScience @timberjeff53 @NickSubocz Subsidies for farming, guaranteed prices and markets regardless of actual demand, export subsidies, the usual market distorting measures.  Just think Northern Ireland green fuel plan (that one where subsidies meant that you could make money just by mindlessly burning green fuel)."
840,"@alan_firth_ @JoRichardsKent I don't believe that the 'rural' working class and property-owning class in Wales, Scotland, Northern Ireland and England will stomach the trade-deal implications of the Brexit fantasy and its impact on farming and farming communities.."
841,"An independent Scotland would not be signing this trade deal with Australia. #bbcnewsnight 
The economic gain is so small and the risk to farming so large. Rush that onlly Ireland will be left farming in these islands. https://t.co/HaleHb20TX"
842,@AgrilandIreland There’s something wrong with farming if this is seen as a win for farming in Ireland 👎
843,"@ThatTimWalker Interestingly it was the farming population in Northern Ireland who largely voted to remain, the whole thing is deeply frustrating"
844,Supporting mental health in rural Ireland https://t.co/R2qDe8Zz0k
845,"@FionaGrahame Johnson needs a Brexit victory. Northern Ireland, Fishing and now Farming will be sacrified to try and make Brexit is a win win. The only winners will be the Austrailian beef and Lamb farmers. Our's will take the retirement bribe and the land bought for development and adaptation"
846,@BillyKelleherEU @fiannafailparty @McConalogue @AgrilandIreland @farmersjournal @farming_indo @icmsa @IFAmedia @ICSAIreland @MacranaFeirme When will Ireland have a sugar cum biofuel plant? Sugur beet a great crop for crop rotation &amp; winter feeding for needs of @IrelandsFarmers . We can help organise a site visit to a plant in Belgium in November? Lets work with a European Partner? For example https://t.co/z6YKon4BJE
847,"No doubt they'll all be resigning the same way they did when Northern Ireland got its special Brexit deal.

Scottish farmers should be very afraid.

Scottish Tories on warpath as Boris threatens farmers with post-Brexit Australia deal https://t.co/s7du0DDrBb"
848,"Useful round of calls to brief farming leaders in Scotland, Wales &amp; Northern Ireland on our coming Free Trade Agreements.

@NFUCymru @NFUStweets @UFUHQ @FUWpress - Thanks to all of you for your detailed input.

We at @tradegovuk are striving to boost our agri exports worldwide! https://t.co/hlSIVkOsLu"
849,"@MrHarryCole Bye bye British farming- is that what #Brexit was for - to destroy farming, fishing and peace in Northern Ireland? You are a disgrace and you are not patriots."
850,@BorisJohnson @AllegraCOP26 #LevellingDown fishing... farming.... Northern Ireland https://t.co/AvhyA7exxu
851,"Prof. Andrew Keane, Director of @UCD_EI , outlines Ireland's offshore wind potential ahead of @ClimateDublin #DublinClimateDialogues 

#Client #MediaCoverage

https://t.co/GbEkMM6TfE"
852,"@TossupReport @R_Lebica Johnson has made Liz Truss sign rollover deals with countries for the same deals they had in the EU. His EU deal is a massive failure for Northern Ireland, fishing and farming soon. Johnson’s deals will eventually lead to the break up of the uk."
853,CEO Ian Stevenson discusses how events such as Open Farm Weekend creates opportunity's for consumers to reconnect with farming and their food. Giving them the chance to discover more about Northern Ireland Farm Quality Assured and the world-class quality of beef and lamb produced https://t.co/QN9SBuIbj0
854,"As part of #DublinClimateDialogues we will be hosting two sessions tomorrow on #technologies and #energysystems for #decarbonization. There is huge potential for #Ireland in this space
https://t.co/gdt8eGHMfN"
855,"So far: Northern Ireland, the Fishing Industry and now, seemingly the Farming Industry.
Who's next to be #ThrownUnderTheBrexitBus?"
856,"Register now for our upcoming Dairy Farming in East Africa webinar with partners @IFIAD_IRELAND on Tues 1st June 2021 featuring @ILRI @kalromkulima @LandOLakesV37 

https://t.co/rUzJJ0hQMN"
857,"@DeanLockhartMSP I see that Bozo is selling the British farming industry down the river, same as the fishing industry and the people of Northern Ireland...."
858,"we can’t let the vax refusers hold us hostage 
shout the Brexshiteers 
who are currently holding Northern Ireland, U.K. fishing, U.K. farming &amp; UK financial services hostage"
859,"@icgardens BTW the bigger issue might be that the UK farming industry dies and NI is unable to get British beef anymore.

Great for Ireland, but not sure how the unionists will feel."
860,@tomhfh @DavidHenigUK Brexit is a gift that never stops giving.  It was eminently predictable in Ireland that Brexit would wipe out the EU markets for agriculture and fisheries: the Oz/NZ deal will be the Coup de Grace for British farming.
861,"Ridiculously excited to get this in the post! It's gonna be a good one! Lots useful info on past #farming practices in Ireland, incl management of #SemiNaturalGrasslands. Thanks @AgrimonySpikes for spurring me on to buy this :)   @jgjcarey @doloresfarming @Johnfinn310 @MORANEnv https://t.co/vJMfqCu1oa"
862,You’ll notice nobody fights or even cares in the slightest for Northern Ireland’s interests. An area of the UK impacted not just by threats to its farming sector but also hugely affected by whatever regulatory divergence from EU that will accompany such FTAs. https://t.co/7Vel8cQaJ5
863,@DarranMarshall Northern Ireland farmers relationship with @edwinpootsmla and the @duponline will have never been as bad when they see what they're supporting in relation to what the UK government is doing to farming.....farmers will get the wakeup call of what the DUP are actually standing for
864,The application was submitted by Bord Bia in November and currently only covers the Republic of Ireland https://t.co/BCk9TR4SM7
865,"It takes some going to turn a global climate crisis into an attack on rural Ireland

Fitzmaurice and McGrath accuse government TDs of hypocrisy in slating An Taisce while backing Climate Bill
 https://t.co/y4PvhPYT1a"
866,"READ: ‘Huge potential’ for floating wind energy in Ireland

“Ireland has a massive opportunity here to become a key renewable energy producer and exporter – but we need to act now."" @irishexaminer @ClimateDublin @UCD_Research 

https://t.co/f9jULBF4sy"
867,"How anyone could watch that footage and not be heartbroken, let alone continue to support greyhound racing is beyond me. Between this and puppy farming, Ireland is the worst country in the world to be a dog. https://t.co/K4Ib8Yrb43"
868,@TheformerD @GuyDorrellEsq Meanwhile I can see land prices throughout Ireland rising as farming prospers.
869,"So far on Brexit...

Fishing industry - ⬇️🚾
British farming industry - ⬇️🚾

Stay tuned folks for the next episode...

""Ireland""

#BrexitReality"
870,"@stationmum101 @Paul_Brown1 @Tedthekelpie @bentags @hirschirsch @burgess_ag @cosfarming @BradMillsteed @CurnowGreg @MeldrumRyan @HoolyMcg @kirrilee_w @rodmess @jonronson That's my concern too, there were really dangerous ones in Ireland &amp; their national farming group worked with the govt. They condemned the videos &amp; took a proactive approach with safety training programs for younger people on farms that are often less capable of assessing risk."
871,"They celebrated a deal to split Northern Ireland from Britain.

They celebrated a deal to put fishermen out of work.

They celebrated a deal to ruin expat retirement. 

And they'll celebrate a deal to destroy farming.

Because brexiters don't care enough to read deals. https://t.co/4vRA20Fhqp"
872,Good thread about farm forestry / tree farming in Ireland https://t.co/VkHonPJUYO
873,The European Commission will not take the application any further until Northern Ireland is included https://t.co/yeIGmNi3gB
874,"'We need factories to answer for themselves, not hide behind Meat Industry Ireland' https://t.co/gLcCw7Za81"
875,Plan to boost sustainable farming best practice via @RTENewsNow.    Has anyone got an address for An Taisces planning objections dept / based on pathological objection to Agricultural developments please? ⁦@drivetimerte⁩ ⁦@wlrfm⁩  https://t.co/2nZ6j27MGp
876,"Fuck Farming, Fuck Fishing, Fuck Business, Fuck Scotland, Fuck Wales, Fuck Northern Ireland. 

#indyref2 https://t.co/v8xW187LJp"
877,"What’s the difference to UK farming? Losing market share to Ireland, france and Spain or Australia? If this is the hold up.... do it. I thought protectionism was bad? 
(I know it’s not sometimes, sorry.) https://t.co/8Ysl1qMYEK"
878,"Good luck with that. No votes in farming. Prepare to be thrown under the bus with the fisherman, exporters, Northern Ireland, musicians, the city etc etc

Farmers’ union demands Australia deal review to avoid ‘car-crash in the countryside’ https://t.co/WW591TY9Z9 via @cathynewman"
879,An ambitious programme to help farmers meet the challenge of climate change has been launched by Teagasc. It aims to help farmers move towards more sustainable and profitable farming systems with support from 40 agri-businesses and agencies | https://t.co/iPLLYIhdG0 https://t.co/ffoEY8vx8g
880,Fitzgerald has almost 20 years’ experience in the food and drinks industry https://t.co/5BXoHj1Q6o
881,"@Anna_Soubry @Minette_Batters @NFUtweets @Channel4News Fishing, farming and Northern Ireland. What next?"
882,Recognise any of Northern Ireland's 9 new technology demonstration farmers? https://t.co/yGRpc2Zn4I
883,Recognise any of Northern Ireland's 9 new technology demonstration farmers? https://t.co/yzfKrMYpOV
884,European Commission calls for Northern Ireland to be included in Irish PGI application - Agriland https://t.co/vcLZ1uOVBS
885,"@davidcochrane Try https://t.co/Yb3KZux1aX 
Despite being a UK site it also does forecast for Ireland and I (being a weather nerd, having grown up watching the weekly farming forecast!) find it v accurate."
886,"@Peterhynes15 Completely agree.....approx. 4 full time pro's. paid incredible money based in England, Ireland ,Scotland and Wales....non stop education...good news and science about farming and nature and climate working together"
887,"@trussliz kills farming in Scotland, England, N.Ireland and Wales https://t.co/Z41WkQQM5Z"
888,The application was submitted by Bord Bia in November and currently only covers the Republic of Ireland https://t.co/yeIGmNi3gB
889,"@Life_Disrupted So we've lost farming, fishing, a trillion pounds worth of City of London assets, Scotland, Northern Ireland and freedom of movement. But the benefits of Brexit are... the English Parliament is more likely to be reconvened for the first time since 1 May 1707."
890,"N. Ireland Protocol could be settled by adhering to EU food standards, says EU. @DavidGHFrost has refused as 'we want to trade with other countries'.
https://t.co/CtwuRx9rQq 
#bbcpm #Farming #BrexitReality"
891,‘Huge potential’ for floating wind energy in Ireland https://t.co/kR032gLUl4
892,"Life is a struggle for Mattie White and small farmers across Ireland, and it's set to get even tougher.

https://t.co/7zbPSM3C63"
893,@philipvmurphy @BrigidLaffan Not just British farming - specifically Northern Ireland farming. Which largely votes DUP. https://t.co/SXLILF20Wb
894,@Rasputinish @subhasishya123 @IDF I can't wait until international Tax Dodging Pacts are reformed.  Then Ireland will be back to Potato farming instead of Tax Evasion Facilitation as the #1 Industry.
895,"Fantastic to see such a heavy emphasis being put on the importance of innovative products &amp; services, and the key role they play for the future of farming in Ireland. Great discussion by the panel @CaslinBarry of @teagasc, @dleydon of @ifac_ireland &amp; @EI_JamesMaloney of @Entirl👏 https://t.co/6CL2DY1piu"
896,"Urgghh at watching the casualties pile up on #BrexitReality - fishing, farming, arts, Northern Ireland... all predictable. And watching the desperate scrabble for ""benefits."" It's what happens when politicians trade in tribal myth-making &amp; brainless populism. #Urgghh"
897,Plan launch to boost sustainable farming best practice via @RTENews https://t.co/iJoHOJE5sT
898,"""Farming for production is killing the family farm, instead of farming for profit. My advice is you need to take the inputs out"" @ZwartblesIE @ireland_farming 🪲

https://t.co/SWYR6LKMf9"
899,An interesting Survey questionnaire from #Nutri2Cycle project for Ireland consumers about how they think on paying a premium for dairy and bread food production from sustainable farming systems with the valorization of agro-residues into renewables @ForrestalPJ @Bioref_Cluster https://t.co/HtkJuMvtvu
900,Fitzgerald has almost 20 years’ experience within the food and drinks industry https://t.co/5BXoHj1Q6o
901,"Nutri2Cycle @EU_H2020 is inviting consumers in Ireland to provide feedback on paying a premium for dairy and bread products obtained from sustainable farming systems and on the value of agro-residue processing into renewables. 
Survey link: https://t.co/ZnXgoAtzZk

@SM_Ashek"
902,Supporting mental health in rural Ireland https://t.co/kSRp3Qol1C
903,"Plan launch to boost sustainable farming best practice via @RTENews - I’m hoping fir diversity+all year round crops indoors+vertical gardening. I want Ireland to make less impact on planet+be as independent with food production as possible,your thoughts?  https://t.co/kw1Nj2nIAq"
904,"Well made case.  More serenity, objectivity and respect are needed from all sides if we mean business about continuing to improve the economic, environmental and social sustainability of Ireland's farming and food production. https://t.co/4KzlzO16aS"
905,Important thread by @AinePOConnell of @IFAmedia to put a scientific context for anyone watching the current agri-environment debate on #dairy farming in Ireland #ProudToFarm 🐄🧀 https://t.co/qbQX9pEFXf
906,@AnimalDefenceBZ Plan launch to boost sustainable farming best practice Teagasc has launched an a  https://t.co/Jyk8jkwDWE
907,@AnimalsHolbox Plan launch to boost sustainable farming best practice Teagasc has launched an a  https://t.co/ET8gucDtzz
908,"As well as supporting farmers to move towards more sustainable farming systems, up to 100 Signpost Farms will be recruited across the country to showcase best practice https://t.co/oMG19wq7zR"
909,"Agriculture has a critically important social, economic &amp; environmental value to Ireland. Farming has a history of embracing change and a shared desire to leave the farmed environment in a better condition for next generations - Min Charlie McConalogue #FarmersforClimateAction https://t.co/q0B6NFx8vQ"
910,@DMDent @GrassBased @PastureForLife @FatEmperor @ireland_farming https://t.co/1G2rHA2RtS
911,US agricultural emissions dwarf Ireland's but US and Irish farmers can still support each other in dealing with the challenges of #climate - insights from @ginamccarthy46 courtesy of @ForeignPressCtr  https://t.co/9A3xhe0M28
912,"@mrjamesob Why not?
Just scrap everything that had the temerity to ever question the gloriousness of Brexit.
Our cities
Scotland
Northern Ireland
The NHS
Fishing
Farming
The Arts
Science
Universities
Chemicals
Pharma
Manufacturing 
Food and Drink
Hospitality
Financial Services 
Reality..."
913,"@griptmedia Excellent stuff by Carol, they should all have their funding  cut and be made reapply to a citizen group. An Taisce are the worst, their aim is the  destruction of live stock farming in Ireland, they are a serious danger..."
914,"@ChrisDo30828241 An inconvenient but legally binding treaty. Probably signed in bad faith as per usual.The N.Ireland Protocol. Be prepared for UK Govt to do the same, Fishing Ind,Haulage, Farming etc suffer the same fate.They never intended to honour their obligations in the withdrawl agreement."
915,@BBCNews Dawn breaks on former ‘United’ Kingdom. Many sectors struggling due to lack of EU migrant staff. Considering a trade deal to destroy UK farming. The bloke who negotiated the 'deal' says let's renegotiate Northern Ireland part of it. The bloke who inflicted it looks the other way. https://t.co/drfX7MEHMU
